Date,Open,High,Low,Close,Volume,OpenInterest,Entry
2020-03-31,378.245,379.765,378.03,379.19,39646,0.0
2020-04-01,379.12,379.46,377.38,378.44,25340,0.0
2020-04-02,378.325,378.79,373,374.67,85150,0.0
2020-04-03,374.55,375.56,373.404,373.885,67230,0.0
2020-04-04,373.87,374,368.43,370.13,101858,0.0
2020-04-05,370.12,371.8,368.655,371.605,99362,0.0
2020-04-06,371.42,372.61,370.52,371.34,79662,0.0
2020-04-07,371.27,373.16,371,372.36,51871,0.0
2020-04-08,372.655,372.68,368.17,368.895,42824,0.0
2020-04-09,368.88,370.8,368.34,369.685,43308,0.0
2020-04-10,369.57,371.34,368.69,371.34,46827,0.0
2020-04-11,371.01,371.74,369.68,371.44,239232,0.0
2020-04-12,370.99,370.99,370.99,370.99,100,0.0
2020-04-13,370.277,370.277,370.277,370.277,381,0.0
2020-04-14,370.92,370.92,370.92,370.92,105,0.0
2020-04-15,366.66,366.66,365.27,365.27,1192,0.0
2020-04-16,365.575,365.575,365.575,365.575,200,0.0
2020-04-17,366.51,366.51,365.5,366.013,4200,0.0
2020-04-18,365.5,365.529,365.5,365.5,3700,0.0
2020-04-19,366.39,366.39,366.3,366.37,300,0.0
2020-04-20,365.81,365.81,364.487,364.487,500,0.0
2020-04-21,363.8,363.8,363.8,363.8,100,0.0
2020-04-22,363.95,365.01,356.69,360.64,299846,0.0
2020-04-23,360.32,362.455,358.9,362.25,114992,0.0
2020-04-24,362.285,364.55,362.281,363.04,71802,0.0
2020-04-25,362.87,366.32,362.87,365.81,49381,0.0
2020-04-26,365.875,366.05,362.82,365.49,39580,0.0
2020-04-27,365.78,368.39,365.185,368.38,30603,0.0
2020-04-28,368.31,369.12,367.38,369.08,22059,0.0
2020-04-29,368.72,371.55,367.69,370.95,28984,0.0
2020-04-30,370.78,370.83,368.17,369.15,30773,0.0
2020-05-01,369.11,369.355,367.01,369.175,22290,0.0
2020-05-02,369.26,369.56,368.12,368.29,17430,0.0
2020-05-03,368.21,369.1,367.65,369.095,15548,0.0
2020-05-04,369.16,369.16,367.4,367.57,19931,0.0
2020-05-05,367.5,368.37,367.22,367.73,19727,0.0
2020-05-06,367.76,368.8,365.83,365.83,18354,0.0
2020-05-07,365.76,367.75,365.615,367.75,213803,0.0
2020-05-08,367.66,369.36,367.11,368.98,221578,0.0
2020-05-09,369.02,370.29,369.02,369.67,70731,0.0
2020-05-10,369.75,371.41,369.49,370.62,17256,0.0
2020-05-11,370.37,370.94,369.88,370.87,12725,0.0
2020-05-12,371.05,371.05,369.61,370.1,11319,0.0
2020-05-13,370.035,370.3,368.63,369.96,19227,0.0
2020-05-14,369.8,371.8,369.45,371.56,15165,0.0
2020-05-15,371.52,371.58,369.3,369.53,18261,0.0
2020-05-16,369.35,370.8,369.05,369.89,124868,0.0
2020-05-17,369.98,371.14,369.48,370.63,71262,0.0
2020-05-18,370.39,370.46,370.39,370.42,300,0.0
2020-05-19,370.44,370.5,370.34,370.35,1000,0.0
2020-05-20,370.43,370.54,370.43,370.52,500,0.0
2020-05-21,370.38,370.51,370.38,370.38,1000,0.0
2020-05-22,370.48,370.52,370.47,370.52,700,0.0
2020-05-23,370.51,370.51,370.5,370.51,400,0.0
2020-05-24,370.45,370.51,370.35,370.49,700,0.0
2020-05-25,370.45,370.5,370.4,370.45,700,0.0
2020-05-26,370.45,370.47,370.39,370.39,600,0.0
2020-05-27,370.43,370.49,370.4,370.4,700,0.0
2020-05-28,370.47,370.47,370.38,370.44,400,0.0
2020-05-29,370.445,370.5,370.33,370.5,1500,0.0
2020-05-30,370.36,370.42,370.33,370.41,500,0.0
2020-05-31,370.38,370.44,370.35,370.35,300,0.0
2020-06-01,370.39,370.47,370.39,370.44,1000,0.0
2020-06-02,370.37,370.42,370.37,370.42,400,0.0
2020-06-03,370.43,370.43,370.37,370.39,500,0.0
2020-06-04,370.43,370.43,370.36,370.36,200,0.0
2020-06-05,374.52,374.52,374.52,374.52,300,0.0
2020-06-06,374.69,374.74,374.69,374.74,350,0.0
2020-06-07,375.03,375.03,375.01,375.01,500,0.0
2020-06-08,374.78,374.78,374.78,374.78,129,0.0
2020-06-09,374.78,374.78,374.78,374.78,200,0.0
2020-06-10,375.68,375.68,375.68,375.68,100,0.0
2020-06-11,375.14,375.14,374.49,374.5,872,0.0
2020-06-12,374.92,379.331,374.02,379.31,82562,0.0
2020-06-13,379.455,379.455,377.41,377.71,64054,0.0
2020-06-14,377.715,379.02,376.14,376.34,40085,0.0
