Date,Open,High,Low,Close,Volume,OpenInterest
2018-03-14,3.36,3.39,3.3085,3.34,141744,0.0
2018-03-15,3.325,3.37,3.25,3.35,108360,0.0
2018-03-16,3.37,3.38,3.34,3.35,78142,0.0
2018-03-19,3.36,3.43,3.35,3.38,272612,0.0
2018-03-20,3.45,3.53,3.43,3.51,163340,0.0
2018-03-21,3.38,3.38,3.3,3.35,346501,0.0
2018-03-22,3.22,3.22,3.13,3.15,296869,0.0
2018-03-23,3.05,3.1,3.02,3.02,387367,0.0
2018-03-26,3.01,3.15,3.01,3.14,185508,0.0
2018-03-27,3.075,3.12,2.96,2.97,497168,0.0
2018-03-28,2.98,2.98,2.85,2.9,268832,0.0
2018-03-29,2.915,2.97,2.91,2.97,78720,0.0
2018-04-02,2.98,2.98,2.82,2.85,147332,0.0
2018-04-03,2.83,2.96,2.83,2.94,116592,0.0
2018-04-04,2.82,2.88,2.7767,2.88,238881,0.0
2018-04-05,2.91,2.95,2.88,2.9415,234192,0.0
2018-04-06,2.75,2.9391,2.75,2.85,146265,0.0
2018-04-09,2.96,3,2.96,2.98,126372,0.0
2018-04-10,3.06,3.1,3,3.1,211174,0.0
2018-04-11,3.1,3.1,3.03,3.05,51373,0.0
2018-04-12,2.9,3.07,2.9,3.05,79197,0.0
2018-04-13,2.93,3.08,2.93,2.98,93266,0.0
2018-04-16,2.97,2.97,2.9,2.9598,31754,0.0
2018-04-17,2.89,2.92,2.86,2.92,99988,0.0
2018-04-18,2.89,2.89,2.79,2.82,221316,0.0
2018-04-19,2.836,2.836,2.78,2.79,185162,0.0
2018-04-20,2.8,2.8,2.77,2.79,117348,0.0
2018-04-23,2.75,2.79,2.71,2.73,215803,0.0
2018-04-24,2.73,2.79,2.73,2.77,207590,0.0
2018-04-25,2.78,2.78,2.6,2.69,151039,0.0
2018-04-26,2.72,2.72,2.63,2.68,209852,0.0
2018-04-27,2.67,2.71,2.64,2.67,89936,0.0
2018-04-30,2.67,2.7,2.66,2.68,71336,0.0
2018-05-01,2.69,2.69,2.59,2.63,174097,0.0
2018-05-02,2.755,2.76,2.73,2.7599,216577,0.0
2018-05-03,2.8,2.8,2.68,2.72,501836,0.0
2018-05-04,2.674,2.7,2.65,2.7,117038,0.0
2018-05-07,2.7,2.85,2.68,2.82,171777,0.0
2018-05-08,2.895,2.9425,2.887,2.92,197328,0.0
2018-05-09,3,3.01,2.9,2.92,180118,0.0
2018-05-10,2.9,2.93,2.87,2.93,59287,0.0
2018-05-11,3.02,3.03,2.98,3.01,110596,0.0
2018-05-14,3.0793,3.0793,3.01,3.048,119802,0.0
2018-05-15,2.9397,2.95,2.89,2.93,174026,0.0
2018-05-16,2.95,2.9995,2.94,2.95,67897,0.0
2018-05-17,2.98,2.98,2.926,2.926,18159,0.0
2018-05-18,2.89,2.915,2.89,2.89,44862,0.0
2018-05-21,2.89,3,2.89,2.97,46566,0.0
2018-05-22,3,3,2.94,2.95,157749,0.0
2018-05-23,2.9,2.92,2.89,2.915,52749,0.0
2018-05-24,2.91,2.91,2.84,2.8685,117996,0.0
2018-05-25,2.83,2.85,2.8,2.85,106635,0.0
2018-05-29,2.83,2.9096,2.83,2.89,46262,0.0
2018-05-30,2.88,2.88,2.8212,2.855,68210,0.0
2018-05-31,2.88,2.88,2.82,2.85,40093,0.0
2018-06-01,2.9,2.9,2.84,2.84,55461,0.0
2018-06-04,2.85,2.99,2.85,2.96,81598,0.0
2018-06-05,2.9,2.984,2.9,2.97,143687,0.0
2018-06-06,2.86,2.99,2.86,2.99,132657,0.0
2018-06-07,3.08,3.08,3.03,3.03,80856,0.0
2018-06-08,3.03,3.04,3.01,3.01,26176,0.0
2018-06-11,3,3.1,3,3.091,129550,0.0
2018-06-12,3.035,3.12,3.035,3.08,316936,0.0
2018-06-13,3.045,3.06,3,3.01,38081,0.0
2018-06-14,2.9701,3.006,2.97,3,61129,0.0
2018-06-15,3,3,2.93,2.945,74307,0.0
2018-06-18,2.895,2.94,2.89,2.91,90520,0.0
2018-06-19,2.89,2.89,2.79,2.83,213799,0.0
2018-06-20,2.815,2.89,2.8,2.8506,73943,0.0
2018-06-21,2.8,2.8,2.78,2.78,198088,0.0
2018-06-22,2.78,2.79,2.76,2.77,121377,0.0
2018-06-25,2.68,2.72,2.63,2.68,358997,0.0
2018-06-26,2.64,2.68,2.6,2.67,189559,0.0
2018-06-27,2.485,2.62,2.485,2.51,492937,0.0
2018-06-28,2.49,2.54,2.46,2.5,347517,0.0
2018-06-29,2.595,2.61,2.56,2.59,428028,0.0
2018-07-02,2.53,2.59,2.47,2.55,156454,0.0
2018-07-03,2.55,2.57,2.52,2.55,17838,0.0
2018-07-05,2.52,2.52,2.415,2.44,257603,0.0
2018-07-06,2.41,2.5001,2.41,2.49,120959,0.0
2018-07-09,2.562,2.66,2.55,2.62,193655,0.0
2018-07-10,2.64,2.64,2.57,2.59,93391,0.0
2018-07-11,2.52,2.56,2.52,2.56,163676,0.0
2018-07-12,2.6,2.64,2.6,2.63,43243,0.0
2018-07-13,2.56,2.65,2.56,2.63,208117,0.0
2018-07-16,2.595,2.65,2.57,2.59,102277,0.0
2018-07-17,2.56,2.59,2.53,2.57,86900,0.0
2018-07-18,2.5548,2.57,2.54,2.57,37221,0.0
2018-07-19,2.455,2.53,2.44,2.44,216808,0.0
2018-07-20,2.45,2.48,2.42,2.44,73568,0.0
2018-07-23,2.44,2.44,2.41,2.44,155536,0.0
2018-07-24,2.57,2.57,2.4398,2.52,63868,0.0
2018-07-25,2.49,2.55,2.43,2.55,116199,0.0
2018-07-26,2.44,2.5,2.41,2.41,107014,0.0
2018-07-27,2.4,2.4,2.34,2.35,173294,0.0
2018-07-30,2.25,2.36,2.25,2.28,454051,0.0
2018-07-31,2.28,2.31,2.27,2.3085,90197,0.0
2018-08-01,2.24,2.31,2.24,2.28,247099,0.0
2018-08-02,2.17,2.22,2.17,2.2,583124,0.0
2018-08-03,2.13,2.13,2.09,2.12,365962,0.0
2018-08-06,2.07,2.07,2.03,2.05,423615,0.0
2018-08-07,2.17,2.19,2.17,2.1875,139196,0.0
