Date,Open,High,Low,Close,Volume,OpenInterest
2018-08-08,2.125,2.18,2.125,2.16,143007,0.0
2018-08-09,2.17,2.22,2.17,2.2,181210,0.0
2018-08-10,2.21,2.21,2.12,2.13,97617,0.0
2018-08-13,2.08,2.15,2.08,2.11,242617,0.0
2018-08-14,2.015,2.0606,2.015,2.04,170858,0.0
2018-08-15,1.96,1.96,1.87,1.91,320991,0.0
2018-08-16,1.9348,1.98,1.9348,1.95,143474,0.0
2018-08-17,1.98,1.98,1.93,1.98,65042,0.0
2018-08-20,2,2,1.945,1.96,425482,0.0
2018-08-21,2.14,2.14,2.08,2.1299,293931,0.0
2018-08-22,2.09,2.15,2.09,2.15,242446,0.0
2018-08-23,2.12,2.16,2.11,2.12,121921,0.0
2018-08-24,2.09,2.13,2.04,2.11,92053,0.0
2018-08-27,2.22,2.26,2.22,2.25,331166,0.0
2018-08-28,2.27,2.27,2.16,2.22,126299,0.0
2018-08-29,2.2302,2.2302,2.205,2.22,60445,0.0
2018-08-30,2.2,2.2,2.12,2.12,92611,0.0
2018-08-31,2.12,2.13,2.1,2.1298,137936,0.0
2018-09-04,2.11,2.11,2,2.05,79401,0.0
2018-09-05,1.995,2,1.96,1.96,206519,0.0
2018-09-06,1.93,1.99,1.93,1.96,69837,0.0
2018-09-07,1.974,1.974,1.92,1.94,74215,0.0
2018-09-10,1.92,1.92,1.88,1.89,142856,0.0
2018-09-11,1.79,1.82,1.77,1.79,538066,0.0
2018-09-12,1.75,1.82,1.75,1.8,180710,0.0
2018-09-13,1.89,1.97,1.89,1.95,161876,0.0
2018-09-14,1.9799,1.9799,1.93,1.9499,184870,0.0
2018-09-17,1.85,1.8825,1.85,1.88,181802,0.0
2018-09-18,1.83,1.83,1.8,1.83,226051,0.0
2018-09-19,1.93,1.93,1.88,1.93,301836,0.0
2018-09-20,1.9199,1.93,1.9,1.9199,49779,0.0
2018-09-21,2.1,2.12,2.09,2.1,112037,0.0
2018-09-24,2.07,2.07,2.02,2.02,206906,0.0
2018-09-25,2.05,2.08,2.04,2.054,107475,0.0
2018-09-26,2.0315,2.07,2.03,2.04,36567,0.0
2018-09-27,2.03,2.04,2,2.01,34873,0.0
2018-09-28,2,2.02,1.97,1.99,100529,0.0
2018-10-01,2.03,2.03,2,2,37730,0.0
2018-10-02,1.91,1.94,1.9,1.905,177186,0.0
2018-10-03,1.85,1.91,1.85,1.8825,148409,0.0
2018-10-04,1.83,1.84,1.8,1.81,288950,0.0
2018-10-05,1.8,1.86,1.8,1.83,82816,0.0
2018-10-08,1.8,1.84,1.8,1.81,122000,0.0
2018-10-09,1.72,1.74,1.7,1.73,196911,0.0
2018-10-10,1.73,1.75,1.715,1.715,222016,0.0
2018-10-11,1.7,1.72,1.643,1.69,275608,0.0
2018-10-12,1.75,1.85,1.75,1.79,183633,0.0
2018-10-15,1.765,1.8,1.76,1.78,120642,0.0
2018-10-16,1.795,1.85,1.795,1.85,75548,0.0
2018-10-17,1.85,1.85,1.8,1.825,139625,0.0
2018-10-18,1.745,1.78,1.72,1.73,411058,0.0
2018-10-19,1.795,1.813,1.76,1.77,70550,0.0
2018-10-22,1.85,1.92,1.85,1.89,177834,0.0
2018-10-23,1.92,1.92,1.81,1.9095,310322,0.0
2018-10-24,1.91,1.91,1.8109,1.8109,215820,0.0
2018-10-25,1.8,1.87,1.8,1.86,958338,0.0
2018-10-26,1.79,1.83,1.76,1.79,161560,0.0
2018-10-29,1.79,1.83,1.77,1.795,166480,0.0
2018-10-30,1.79,1.79,1.76,1.79,62780,0.0
2018-10-31,1.86,1.92,1.86,1.8945,93850,0.0
2018-11-01,1.98,2.0225,1.93,2.015,241164,0.0
2018-11-02,2.17,2.19,2.11,2.14,338697,0.0
2018-11-05,2.17,2.17,2.12,2.16,241628,0.0
2018-11-06,2.11,2.11,2.06,2.0695,64614,0.0
2018-11-07,2.03,2.03,1.99,2.01,84484,0.0
2018-11-08,1.89,1.95,1.89,1.9,65086,0.0
2018-11-09,1.88,1.88,1.82,1.835,39110,0.0
2018-11-12,1.85,1.85,1.8,1.8,30533,0.0
2018-11-13,1.89,1.94,1.89,1.92,88738,0.0
2018-11-14,1.96,1.96,1.89,1.92,134100,0.0
2018-11-15,1.91,1.93,1.85,1.91,284764,0.0
2018-11-16,1.834,1.9,1.834,1.9,170322,0.0
2018-11-19,1.9115,1.92,1.9,1.915,145916,0.0
2018-11-20,1.91,1.91,1.82,1.83,191774,0.0
2018-11-21,1.88,1.97,1.88,1.95,110296,0.0
2018-11-23,1.97,1.97,1.89,1.91,61700,0.0
2018-11-26,1.94,1.96,1.93,1.93,131284,0.0
2018-11-27,1.99,1.99,1.93,1.95,180062,0.0
2018-11-28,1.98,2,1.96,2,79890,0.0
2018-11-29,2,2,1.95,1.99,147466,0.0
2018-11-30,2,2,1.95,1.9815,88706,0.0
2018-12-03,2,2.045,2,2.044,245024,0.0
2018-12-04,2.05,2.05,1.94,1.95,419128,0.0
2018-12-06,1.86,1.93,1.79,1.86,175214,0.0
2018-12-07,1.8125,1.86,1.8,1.8,47632,0.0
2018-12-10,1.8,1.8,1.75,1.8,151648,0.0
2018-12-11,1.8245,1.85,1.8,1.82,253610,0.0
2018-12-12,1.8375,1.84,1.82,1.83,54606,0.0
2018-12-13,1.84,1.907,1.84,1.852,59842,0.0
2018-12-14,1.85,1.89,1.826,1.86,83572,0.0
2018-12-17,1.77,1.806,1.77,1.77,138084,0.0
2018-12-18,1.77,1.78,1.76,1.77,273840,0.0
2018-12-19,1.81,1.81,1.7,1.72,250756,0.0
2018-12-20,1.72,1.73,1.7,1.711,197804,0.0
2018-12-21,1.77,1.77,1.73,1.74,328590,0.0
2018-12-24,1.72,1.72,1.7,1.72,296005,0.0
2018-12-26,1.69,1.76,1.68,1.76,211668,0.0
2018-12-27,1.77,1.77,1.67,1.69,300300,0.0
