Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,132.46,133.0,132.3,132.56,75675,0.0,,,,,,
2019-10-11,135.2,136.22,135.06,135.43,121651,0.0,,,,,,
2019-10-14,135.28,135.56,135.025,135.08,39146,0.0,,,,,,
2019-10-15,136.8,137.36,136.38,136.87,153460,0.0,,,,,,
2019-10-16,137.18,137.43,136.59,136.74,149600,0.0,135.336,,,,,
2019-10-17,136.18,136.35,135.61,135.99,104173,0.0,136.02200000000002,,,,,
2019-10-18,135.92,135.98,135.3822,135.77,102793,0.0,136.09,,,,,
2019-10-21,136.42,136.6995,136.21,136.35,84821,0.0,136.344,,,,,
2019-10-22,136.6,136.99,136.3,136.41,68460,0.0,136.252,,,,,
2019-10-23,136.75,137.31,136.61,137.31,90457,0.0,136.36599999999999,,,,,
2019-10-24,137.9,138.17,137.67,138.15,118803,0.0,136.79799999999997,,,,,
2019-10-25,138.22,138.44,137.72,138.29,136623,0.0,137.30199999999996,,,,,
2019-10-28,137.95,138.36,137.66,138.34,106932,0.0,137.7,,,,,
2019-10-29,138.2,138.74,138.2,138.68,137753,0.0,138.15399999999997,,,,,
2019-10-30,137.42,139.09,137.42,139.04,125934,0.0,138.49999999999994,,84.54157782515998,,,
2019-10-31,138.62,138.65,138.25,138.54,123704,0.0,138.57799999999995,,79.95191561966811,,,
2019-11-01,139.62,140.09,139.45,139.8,99050,0.0,138.87999999999997,,82.52633658835894,,,
2019-11-04,140.03,140.63,140.03,140.56,125111,0.0,139.32399999999996,,83.87165251831343,,,
2019-11-05,140.88,140.94,140.41,140.78,69391,0.0,139.74399999999997,,84.24968008456167,,,
2019-11-06,140.63,140.85,140.19,140.41,89007,0.0,140.01799999999997,,80.81876829229876,,,
2019-11-07,142.7,143.5,142.64,142.84,166989,0.0,140.878,,85.10803101508891,,,
2019-11-08,144.0,144.5792,143.93,144.365,180926,0.0,141.791,,87.06318816862046,,,
2019-11-11,144.95,145.41,144.35,145.06,197792,0.0,142.69099999999997,,87.84632357982905,,,
2019-11-12,144.77,145.28,143.68,144.5,105109,0.0,143.435,,83.46215638809652,,,
2019-11-13,144.49,144.71,144.03,144.57,88654,0.0,144.267,,83.57252082170015,,,
2019-11-14,143.5,143.87,142.88,143.86,81889,0.0,144.47099999999998,,77.89443829915267,3.1934381658876703,,
2019-11-15,144.01,144.4,143.922,144.27,100984,0.0,144.45199999999997,,78.79058097898309,3.115497426800829,,
2019-11-18,143.3,143.76,143.27,143.6,121255,0.0,144.16,,73.54375075697303,2.9654812075527275,,
2019-11-19,143.56,143.56,142.8,142.88,104324,0.0,143.83599999999998,,68.2815382547465,2.756716577571467,,
2019-11-20,141.75,141.87,140.5,141.34,78126,0.0,143.19,,58.62009452133379,2.438889969152285,,
2019-11-21,142.1,142.38,141.86,142.16,50429,0.0,142.85,,61.725551314650026,2.227500005642611,,
2019-11-22,143.1,143.1,142.345,142.51,54467,0.0,142.498,,63.00185727006597,2.064416700834272,,
2019-11-25,140.75,142.7,140.75,142.59,99585,0.0,142.296,,63.30307611518792,1.9195005309606756,,
2019-11-26,141.98,142.0,141.28,141.91,76268,0.0,142.102,,58.912577459554726,1.7298425570601523,2.490142571273632,-0.7603000142134797
2019-11-27,141.49,141.86,141.01,141.65,125798,0.0,142.164,,57.2768268064805,1.540796081131731,2.300273273245252,-0.759477192113521
2019-11-29,140.15,140.58,140.065,140.25,99781,0.0,141.78199999999998,,49.333689880571015,1.2634429039099189,2.0929071993781854,-0.8294642954682665
